day,well_role,injection_flow,extraction_flow,ph,dissolved_oxygen,uranium_assay,synthetic_record
18,injector_4,1.128529,0.000000,6.541832,2.071941,1.398943,True
19,central_extraction,0.000000,4.992428,6.716177,2.341876,,True
19,injector_1,1.256363,0.000000,6.734846,2.282785,,True
19,injector_2,1.334289,0.000000,6.690382,2.188468,1.454557,True
19,injector_3,1.235497,0.000000,6.604083,2.220766,,True
19,injector_4,1.118072,0.000000,6.568901,2.091294,,True
20,central_extraction,0.000000,4.722253,6.744611,2.370267,,True
20,injector_1,1.311048,0.000000,6.721290,2.336510,,True
20,injector_2,1.316432,0.000000,6.751912,2.262246,,True
20,injector_3,1.284996,0.000000,6.595147,2.130673,1.454006,True
20,injector_4,1.033833,0.000000,6.539244,2.045782,,True
21,central_extraction,0.000000,4.706984,6.651147,2.373812,1.442767,True
21,injector_1,1.270431,0.000000,6.758103,2.285551,1.544632,True
21,injector_2,1.369591,0.000000,6.695372,2.222192,,True
21,injector_3,1.266353,0.000000,6.599421,2.128021,,True
21,injector_4,1.130787,0.000000,6.535515,2.107445,1.403942,True
22,central_extraction,0.000000,4.818103,6.745954,2.350042,,True
22,injector_1,1.300203,0.000000,6.791856,2.258598,,True
22,injector_2,1.279361,0.000000,6.678516,2.186581,1.532936,True
22,injector_3,1.223675,0.000000,6.595290,2.128953,,True
22,injector_4,1.102703,0.000000,6.569232,2.032297,,True
23,central_extraction,0.000000,4.754049,6.707201,2.370308,,True
23,injector_1,1.280479,0.000000,6.775266,2.282386,,True
23,injector_2,1.292877,0.000000,6.695078,2.301333,,True
23,injector_3,1.206829,0.000000,6.564705,2.081970,1.418160,True
23,injector_4,1.159339,0.000000,6.571964,2.103484,,True
24,central_extraction,0.000000,4.928196,6.676653,2.356141,1.500609,True
24,injector_1,1.323786,0.000000,6.759593,2.150458,1.581376,True
24,injector_2,1.308145,0.000000,6.664101,2.171721,,True
24,injector_3,1.206399,0.000000,6.562266,2.127873,,True
24,injector_4,1.091380,0.000000,6.531046,2.026989,1.486166,True
25,central_extraction,0.000000,4.808026,6.693505,2.366525,,True
25,injector_1,1.325712,0.000000,6.712360,2.229906,,True
25,injector_2,1.291720,0.000000,6.707500,2.163084,1.532147,True
25,injector_3,1.234627,0.000000,6.582206,2.098788,,True
25,injector_4,1.075824,0.000000,6.520996,2.022636,,True
26,central_extraction,0.000000,4.784037,6.655604,2.299111,,True
26,injector_1,1.319431,0.000000,6.748301,2.224457,,True
26,injector_2,1.255324,0.000000,6.682282,2.132434,,True
26,injector_3,1.206795,0.000000,6.572912,2.079757,1.468636,True
26,injector_4,1.139649,0.000000,6.582228,2.032702,,True
27,central_extraction,0.000000,4.770881,6.734437,2.310704,1.525694,True
27,injector_1,1.328923,0.000000,6.774644,2.232485,1.585722,True
27,injector_2,1.268406,0.000000,6.707783,2.094948,,True
27,injector_3,1.181151,0.000000,6.571860,2.129741,,True
27,injector_4,1.043382,0.000000,6.573202,2.062612,1.477663,True
28,central_extraction,0.000000,4.933271,6.740150,2.252933,,True
28,injector_1,1.356284,0.000000,6.756609,2.221167,,True
28,injector_2,1.286764,0.000000,6.662325,2.198186,1.629712,True
28,injector_3,1.162075,0.000000,6.606384,2.055958,,True
28,injector_4,1.084667,0.000000,6.521152,2.024682,,True
29,central_extraction,0.000000,4.717023,6.759982,2.274780,,True
29,injector_1,1.328214,0.000000,6.719421,2.289971,,True
29,injector_2,1.316454,0.000000,6.647464,2.100397,,True
29,injector_3,1.279030,0.000000,6.553743,2.091808,1.602761,True
29,injector_4,1.134002,0.000000,6.632796,2.084645,,True
30,central_extraction,0.000000,4.611195,6.696972,2.272325,1.650870,True
30,injector_1,1.312853,0.000000,6.780965,2.232424,1.709403,True
30,injector_2,1.253575,0.000000,6.685889,2.175402,,True
30,injector_3,1.199130,0.000000,6.556872,2.030018,,True
30,injector_4,1.096014,0.000000,6.576121,2.068175,,True
31,central_extraction,0.000000,4.792275,6.763583,2.244393,,True
31,injector_1,1.353282,0.000000,6.691441,2.147624,,True
31,injector_2,1.233814,0.000000,6.638385,2.126798,1.637976,True
31,injector_3,1.216231,0.000000,6.581192,2.107386,,True
31,injector_4,1.068910,0.000000,6.561196,2.129992,,True
32,central_extraction,0.000000,4.984516,6.754296,2.273463,,True
32,injector_1,1.295262,0.000000,6.741592,2.275826,,True
32,injector_2,1.280587,0.000000,6.659903,2.101540,,True
32,injector_3,1.118166,0.000000,6.574803,2.107991,1.671961,True
32,injector_4,1.066735,0.000000,6.519505,1.999612,,True
33,central_extraction,0.000000,4.798405,6.740832,2.262940,1.681451,True
33,injector_1,1.354131,0.000000,6.706669,2.027504,,True
33,injector_2,1.273206,0.000000,6.698440,2.039388,,True
33,injector_3,1.151056,0.000000,6.560442,2.079622,,True
33,injector_4,1.035444,0.000000,6.545785,2.002111,1.698007,True
34,central_extraction,0.000000,4.809580,6.751936,2.288132,,True
34,injector_1,1.302699,0.000000,6.735516,2.152793,,True
34,injector_2,1.238678,0.000000,6.641570,2.171003,1.671344,True
34,injector_3,1.190057,0.000000,6.555988,2.109886,,True
34,injector_4,1.067594,0.000000,6.549585,1.957566,,True
35,central_extraction,0.000000,4.715472,6.733975,2.143386,,True
35,injector_1,1.339433,0.000000,6.734685,2.175751,,True
35,injector_2,1.314343,0.000000,6.678572,2.062730,,True
35,injector_3,1.146982,0.000000,6.553972,2.040066,1.689343,True
35,injector_4,1.042618,0.000000,6.534250,2.085581,,True
36,central_extraction,0.000000,4.688526,6.787399,2.227745,1.764400,True
36,injector_1,1.257939,0.000000,6.702908,2.163227,1.771972,True
36,injector_2,1.243911,0.000000,6.641874,2.113598,,True
36,injector_3,1.139572,0.000000,6.563325,2.007588,,True
36,injector_4,1.061337,0.000000,6.579707,1.989480,1.745369,True
37,central_extraction,0.000000,4.709701,6.713790,2.254322,,True
37,injector_1,1.299800,0.000000,6.714064,2.125025,,True
37,injector_2,1.287332,0.000000,6.597620,2.098649,1.753381,True
37,injector_3,1.075294,0.000000,6.539208,2.048314,,True
37,injector_4,0.977015,0.000000,6.581512,2.013234,,True
38,central_extraction,0.000000,4.800938,6.779296,2.124635,,True
38,injector_1,1.282544,0.000000,6.730449,2.093793,,True
38,injector_2,1.229803,0.000000,6.626975,2.055161,,True
38,injector_3,1.089100,0.000000,6.560516,1.952828,1.821697,True
38,injector_4,1.065619,0.000000,6.526321,2.047521,,True
39,central_extraction,0.000000,4.634535,6.745419,2.219462,1.807935,True
39,injector_1,1.272803,0.000000,6.706335,2.172913,1.857872,True
39,injector_2,1.187286,0.000000,6.650843,1.988671,,True
39,injector_3,1.116053,0.000000,6.594976,2.059168,,True
39,injector_4,1.034604,0.000000,6.572488,2.025076,1.826595,True
40,central_extraction,0.000000,4.435472,6.786359,2.205625,,True
40,injector_1,1.310998,0.000000,6.699229,2.043843,,True
40,injector_2,1.172437,0.000000,6.600314,2.044830,1.792373,True
40,injector_3,1.125959,0.000000,6.537039,2.096050,,True
40,injector_4,1.026831,0.000000,6.585564,2.099169,,True
41,central_extraction,0.000000,4.603196,6.795641,2.206074,,True
41,injector_1,1.182469,0.000000,6.689724,2.081331,,True
41,injector_2,1.194630,0.000000,6.649726,2.057619,,True
41,injector_3,1.115881,0.000000,6.539954,2.056309,1.926675,True
41,injector_4,1.015308,0.000000,6.582532,2.095863,,True
42,central_extraction,0.000000,4.524637,6.753899,2.187007,1.920861,True
42,injector_1,1.270933,0.000000,6.706614,2.077743,1.823433,True
42,injector_2,1.209533,0.000000,6.618242,2.082104,,True
42,injector_3,1.092695,0.000000,6.593545,2.030844,,True
42,injector_4,1.004754,0.000000,6.580206,2.063865,1.801926,True
43,central_extraction,0.000000,4.621550,6.768594,2.127830,,True
43,injector_1,1.271072,0.000000,6.750102,2.103509,,True
43,injector_2,1.153064,0.000000,6.620782,2.111329,1.804150,True
43,injector_3,1.121586,0.000000,6.572702,2.016473,,True
43,injector_4,0.954207,0.000000,6.571676,1.995109,,True
44,central_extraction,0.000000,4.506137,6.731899,2.076274,,True
44,injector_1,1.228064,0.000000,6.702708,2.090866,,True
44,injector_2,1.205776,0.000000,6.584255,1.986548,,True
44,injector_3,1.099816,0.000000,6.608220,2.056692,1.941622,True
44,injector_4,0.952661,0.000000,6.583811,2.064309,,True
45,central_extraction,0.000000,4.451819,6.739062,2.171840,1.876640,True
45,injector_1,1.279086,0.000000,6.677714,2.095022,1.901013,True
45,injector_2,1.197449,0.000000,6.561050,2.062536,,True
45,injector_3,1.027839,0.000000,6.546768,2.014646,,True
45,injector_4,1.030576,0.000000,6.629265,2.038642,1.879169,True
46,central_extraction,0.000000,4.565177,6.739851,2.150025,,True
46,injector_1,1.220942,0.000000,6.728648,2.125453,,True
46,injector_2,1.229941,0.000000,6.616266,2.040958,1.873958,True
46,injector_3,1.104082,0.000000,6.563987,2.026787,,True
46,injector_4,1.003192,0.000000,6.596718,2.170130,,True
47,central_extraction,0.000000,4.460660,6.754942,2.132916,,True
47,injector_1,1.227149,0.000000,6.714585,2.104196,,True
47,injector_2,1.153627,0.000000,6.603079,2.006912,,True
47,injector_3,1.109053,0.000000,6.554013,1.982456,1.876377,True
47,injector_4,1.049055,0.000000,6.572225,2.081307,,True
48,central_extraction,0.000000,4.465639,6.740837,2.115322,1.971307,True
48,injector_1,1.258705,0.000000,6.709403,2.120980,1.935523,True
48,injector_2,1.120038,0.000000,6.624701,2.002818,,True
48,injector_3,1.125255,0.000000,6.551882,2.029889,,True
48,injector_4,0.960663,0.000000,6.583575,2.060367,1.907677,True
49,central_extraction,0.000000,4.592765,6.726892,2.109320,,True
49,injector_1,1.229859,0.000000,6.730942,2.096862,,True
49,injector_2,1.145763,0.000000,6.591071,2.058379,,True
49,injector_3,0.970222,0.000000,6.551058,2.020045,,True
49,injector_4,1.021937,0.000000,6.591404,2.084059,,True
50,central_extraction,0.000000,4.609642,6.735513,2.129746,,True
50,injector_1,1.175087,0.000000,6.729952,2.046316,,True
50,injector_2,1.108435,0.000000,6.585984,2.073105,,True
50,injector_3,1.050328,0.000000,6.566069,2.065565,1.876859,True
50,injector_4,0.970575,0.000000,6.587054,2.126861,,True
51,central_extraction,0.000000,4.284091,6.706069,2.060338,,True
51,injector_1,1.202167,0.000000,6.684177,2.098551,1.949358,True
51,injector_2,1.143481,0.000000,6.541794,2.098202,,True
51,injector_3,0.995332,0.000000,6.524643,2.111191,,True
51,injector_4,0.928102,0.000000,6.610086,2.059966,1.957811,True
52,central_extraction,0.000000,4.306100,6.790063,2.046782,,True
52,injector_1,1.203762,0.000000,6.666780,2.079777,,True
52,injector_2,1.072749,0.000000,6.569262,2.037562,1.846571,True
52,injector_3,0.989801,0.000000,6.570904,2.055639,,True
52,injector_4,0.963121,0.000000,6.601549,2.114786,,True
53,central_extraction,0.000000,4.253458,6.809299,2.086174,,True
53,injector_1,1.181066,0.000000,6.682683,2.019887,,True
53,injector_2,1.159291,0.000000,6.606224,2.023024,,True
53,injector_3,0.981245,0.000000,6.556741,2.144659,1.944107,True
53,injector_4,0.966011,0.000000,6.614401,2.143480,,True
54,central_extraction,0.000000,4.126529,6.715297,2.099250,2.044014,True
54,injector_1,1.161831,0.000000,6.694043,1.978926,1.897937,True
54,injector_2,1.108542,0.000000,6.615536,2.049739,,True
54,injector_3,1.001516,0.000000,6.555394,2.118943,,True
54,injector_4,0.952122,0.000000,6.606987,2.119609,1.953660,True
55,central_extraction,0.000000,4.193445,6.712286,2.017273,,True
55,injector_1,1.173692,0.000000,6.677869,2.023470,,True
55,injector_2,1.043566,0.000000,6.564514,2.052214,1.902582,True
55,injector_3,1.044808,0.000000,6.534748,2.048392,,True
55,injector_4,0.949383,0.000000,6.565250,2.085774,,True
56,central_extraction,0.000000,4.187855,6.795585,2.036517,,True
56,injector_1,1.113936,0.000000,6.683137,1.987946,,True
56,injector_2,1.131335,0.000000,6.586990,2.062606,,True
56,injector_3,1.027836,0.000000,6.552912,2.137029,1.974764,True
56,injector_4,0.957889,0.000000,6.619136,2.152903,,True
57,central_extraction,0.000000,4.038535,6.752433,2.007868,2.026072,True
57,injector_1,1.126216,0.000000,6.689923,2.027435,1.982198,True
57,injector_2,1.140743,0.000000,6.583807,1.994025,,True
57,injector_3,1.040618,0.000000,6.509341,2.161152,,True
57,injector_4,1.030951,0.000000,6.631814,2.176619,2.008156,True
58,central_extraction,0.000000,4.253901,6.758307,2.054472,,True
58,injector_1,1.142066,0.000000,6.626043,2.103047,,True
58,injector_2,1.057873,0.000000,6.583441,2.117581,1.935034,True
58,injector_3,1.012874,0.000000,6.525635,2.164891,,True
58,injector_4,1.017480,0.000000,6.607241,2.158622,,True
59,central_extraction,0.000000,4.070763,6.755531,1.987471,,True
59,injector_1,1.108132,0.000000,6.635450,2.036269,,True
59,injector_2,1.070001,0.000000,6.582449,1.999402,,True
59,injector_3,0.981872,0.000000,6.532735,2.072530,2.057887,True
59,injector_4,0.997167,0.000000,6.705459,2.154817,,True
60,central_extraction,0.000000,4.261740,6.757103,2.058553,1.954538,True
60,injector_1,1.116676,0.000000,6.663489,2.108052,1.965336,True
60,injector_2,1.057363,0.000000,6.578687,2.080310,,True
60,injector_3,1.015298,0.000000,6.542714,2.156624,,True
60,injector_4,1.033809,0.000000,6.637382,2.234669,2.032479,True
61,central_extraction,0.000000,4.142941,6.710890,2.048159,,True
61,injector_1,1.175441,0.000000,6.619716,2.147324,,True
61,injector_2,1.057897,0.000000,6.525020,2.034013,1.901955,True
61,injector_3,1.015655,0.000000,6.545178,2.153225,,True
61,injector_4,0.992204,0.000000,6.553053,2.132969,,True
62,central_extraction,0.000000,4.164029,6.747256,2.052285,,True
62,injector_1,1.097708,0.000000,6.680377,2.074025,,True
62,injector_2,1.018944,0.000000,6.510420,2.075618,,True
62,injector_3,0.908765,0.000000,6.497183,2.106480,1.958825,True
62,injector_4,0.944631,0.000000,6.627824,2.200833,,True
63,central_extraction,0.000000,4.316376,6.768618,2.092810,1.996943,True
63,injector_1,1.085364,0.000000,6.661048,2.059208,1.958947,True
63,injector_2,1.009565,0.000000,6.518353,2.084168,,True
63,injector_3,1.026227,0.000000,6.577212,2.223338,,True
63,injector_4,0.994045,0.000000,6.658904,2.275465,1.962728,True
64,central_extraction,0.000000,4.230660,6.719412,2.026402,,True
64,injector_1,1.110258,0.000000,6.607239,2.030680,,True
64,injector_2,1.070487,0.000000,6.539067,2.043485,1.970342,True
64,injector_3,1.000584,0.000000,6.545207,2.227211,,True
64,injector_4,1.038405,0.000000,6.665326,2.307481,,True
65,central_extraction,0.000000,3.896486,6.735472,2.043457,,True
65,injector_1,1.032712,0.000000,6.634879,2.058861,,True
65,injector_2,1.093518,0.000000,6.585430,2.105870,,True
65,injector_3,0.922811,0.000000,6.549732,2.187240,,True
65,injector_4,1.002124,0.000000,6.638082,2.294469,,True
66,central_extraction,0.000000,4.070104,6.665701,2.050393,1.914945,True
66,injector_1,1.059799,0.000000,6.601826,2.101881,1.990000,True
66,injector_2,1.070147,0.000000,6.548130,2.207846,,True
66,injector_3,0.938729,0.000000,6.554381,2.236425,,True
66,injector_4,1.012003,0.000000,6.636660,2.276693,2.007184,True
67,central_extraction,0.000000,4.065127,6.705316,2.063648,,True
67,injector_1,1.076963,0.000000,6.652604,2.111424,,True
67,injector_2,1.057607,0.000000,6.565756,2.102560,1.996593,True
67,injector_3,0.956623,0.000000,6.574263,2.176841,,True
67,injector_4,0.987947,0.000000,6.679470,2.228974,,True
68,central_extraction,0.000000,3.978881,6.695603,2.046971,,True
68,injector_1,1.065916,0.000000,6.644097,2.118883,,True
68,injector_2,1.067067,0.000000,6.534872,2.109242,,True
68,injector_3,0.983574,0.000000,6.532352,2.165228,2.029191,True
68,injector_4,1.050252,0.000000,6.675217,2.234483,,True
69,central_extraction,0.000000,4.084834,6.708380,2.042190,2.022086,True
69,injector_1,1.028844,0.000000,6.584552,2.084456,1.941049,True
69,injector_2,1.047520,0.000000,6.531091,2.197588,,True
69,injector_3,0.980752,0.000000,6.541099,2.175876,,True
69,injector_4,1.010035,0.000000,6.709406,2.260014,2.116556,True
70,central_extraction,0.000000,4.018626,6.693989,2.125811,,True
70,injector_1,1.070054,0.000000,6.671923,2.075708,,True
70,injector_2,0.970590,0.000000,6.569986,2.088699,1.968721,True
70,injector_3,1.080802,0.000000,6.526513,2.229277,,True
70,injector_4,1.046279,0.000000,6.695587,2.274643,,True
71,central_extraction,0.000000,4.114745,6.757029,2.093415,,True
71,injector_1,1.033565,0.000000,6.589613,2.057073,,True
71,injector_2,0.974432,0.000000,6.540229,2.172393,,True
71,injector_3,0.986659,0.000000,6.596164,2.201665,2.102546,True
71,injector_4,1.009039,0.000000,6.573695,2.300531,,True
72,central_extraction,0.000000,3.913208,6.718140,2.086141,2.065793,True
72,injector_1,1.055517,0.000000,6.607958,2.083092,2.150137,True
72,injector_2,0.991394,0.000000,6.574534,2.125224,,True
72,injector_3,1.030640,0.000000,6.595013,2.206317,,True
72,injector_4,1.013555,0.000000,6.700652,2.299943,2.081696,True
73,central_extraction,0.000000,4.124355,6.701375,2.063404,,True
73,injector_1,1.042478,0.000000,6.600951,2.117138,,True
73,injector_2,1.011878,0.000000,6.525137,2.149407,2.068846,True
73,injector_3,1.002384,0.000000,6.595570,2.297889,,True
73,injector_4,1.014258,0.000000,6.673963,2.354021,,True
74,central_extraction,0.000000,4.048796,6.715231,2.060956,,True
74,injector_1,1.023158,0.000000,6.648065,2.061702,,True
74,injector_2,0.954195,0.000000,6.514287,2.191330,,True
74,injector_3,0.934743,0.000000,6.567551,2.232134,2.159487,True
74,injector_4,0.999123,0.000000,6.669873,2.354340,,True
75,central_extraction,0.000000,4.057453,6.675640,2.106618,2.093716,True
75,injector_1,1.007274,0.000000,6.609401,2.118617,2.152936,True
75,injector_2,0.966522,0.000000,6.538586,2.260088,,True
75,injector_3,0.966533,0.000000,6.584060,2.253071,,True
75,injector_4,1.017741,0.000000,6.688152,2.282835,2.136168,True
76,central_extraction,0.000000,3.980334,6.707067,2.071960,,True
76,injector_1,1.056072,0.000000,6.571107,2.081429,,True
76,injector_2,1.014497,0.000000,6.550452,2.208720,2.063534,True
76,injector_3,1.003671,0.000000,6.557646,2.269130,,True
76,injector_4,1.025283,0.000000,6.661352,2.287574,,True
77,central_extraction,0.000000,3.911635,6.704394,2.117683,,True
77,injector_1,0.976630,0.000000,6.597461,2.057990,,True
77,injector_2,0.992083,0.000000,6.521963,2.202931,,True
77,injector_3,0.985546,0.000000,6.582316,2.311012,2.193735,True
77,injector_4,1.085214,0.000000,6.682224,2.359957,,True
78,central_extraction,0.000000,3.975880,6.668686,2.056067,2.100201,True
78,injector_1,0.971118,0.000000,6.646752,2.192107,2.022165,True
78,injector_2,1.020806,0.000000,6.527629,2.225071,,True
78,injector_3,1.040005,0.000000,6.621473,2.301023,,True
78,injector_4,0.997685,0.000000,6.684189,2.369457,2.205778,True
79,central_extraction,0.000000,3.995643,6.719976,2.048078,,True
79,injector_1,1.037400,0.000000,6.605113,2.127085,,True
79,injector_2,0.949910,0.000000,6.500956,2.215794,2.115174,True
79,injector_3,1.008392,0.000000,6.591275,2.358224,,True
79,injector_4,1.044530,0.000000,6.715710,2.381545,,True
80,central_extraction,0.000000,3.894103,6.703181,2.052426,,True
80,injector_1,1.031741,0.000000,6.575766,2.190509,,True
80,injector_2,0.956185,0.000000,6.546991,2.286773,,True
80,injector_3,1.032072,0.000000,6.571327,2.334335,2.188315,True
80,injector_4,1.060514,0.000000,6.710651,2.375129,,True
81,central_extraction,0.000000,3.946823,6.673995,2.147573,2.160691,True
81,injector_1,0.994002,0.000000,6.629709,2.150576,2.101199,True
81,injector_2,0.977319,0.000000,6.560006,2.278950,,True
81,injector_3,1.003204,0.000000,6.598270,2.351593,,True
81,injector_4,1.121637,0.000000,6.709768,2.399447,,True
82,central_extraction,0.000000,3.952594,6.671721,2.115484,,True
82,injector_1,0.994972,0.000000,6.561325,2.140213,,True
82,injector_2,0.994312,0.000000,6.549978,2.363088,2.111339,True
82,injector_3,0.981754,0.000000,6.585906,2.343958,,True
82,injector_4,1.082454,0.000000,6.703917,2.393918,,True
83,central_extraction,0.000000,4.136123,6.665434,2.084699,,True
83,injector_1,0.940797,0.000000,6.594690,2.131261,,True
83,injector_2,0.972993,0.000000,6.540135,2.190117,,True
83,injector_3,1.014319,0.000000,6.587266,2.269164,2.136932,True
83,injector_4,1.196290,0.000000,6.687786,2.439800,,True
84,central_extraction,0.000000,4.093531,6.646799,2.133675,2.117412,True
84,injector_1,1.000810,0.000000,6.612742,2.131056,,True
84,injector_2,1.008103,0.000000,6.601707,2.225689,,True
84,injector_3,1.020689,0.000000,6.633071,2.345637,,True
84,injector_4,1.017414,0.000000,6.679902,2.423267,2.172111,True
85,central_extraction,0.000000,4.032531,6.644464,2.122081,,True
85,injector_1,0.992720,0.000000,6.558664,2.151017,,True
85,injector_2,0.979831,0.000000,6.591850,2.265226,2.084223,True
85,injector_3,1.006356,0.000000,6.581610,2.369447,,True
85,injector_4,1.080978,0.000000,6.700797,2.432020,,True
86,central_extraction,0.000000,4.060174,6.647157,2.048912,,True
86,injector_1,0.977779,0.000000,6.581489,2.168383,,True
86,injector_2,1.002885,0.000000,6.519324,2.286438,,True
86,injector_3,1.021795,0.000000,6.573336,2.365409,2.163084,True
86,injector_4,1.095785,0.000000,6.676056,2.380369,,True
87,central_extraction,0.000000,4.040869,6.667065,2.172296,2.198646,True
87,injector_1,1.009980,0.000000,6.565925,2.206202,2.170563,True
87,injector_2,1.057499,0.000000,6.535542,2.212006,,True
87,injector_3,0.966991,0.000000,6.630151,2.358495,,True
87,injector_4,1.040317,0.000000,6.706778,2.392208,2.146489,True
88,central_extraction,0.000000,4.079543,6.662683,2.159330,,True
